Week of,Deletions,Project
14/04/2024,756,cp
21/04/2024,382,cp
28/04/2024,0,cp
05/05/2024,0,cp
12/05/2024,0,cp
19/05/2024,0,cp
26/05/2024,0,cp
02/06/2024,0,cp
09/06/2024,10,cp
16/06/2024,0,cp
23/06/2024,0,cp
30/06/2024,0,cp
07/07/2024,0,cp
14/07/2024,9,cp
21/07/2024,0,cp
28/07/2024,0,cp
04/08/2024,0,cp
11/08/2024,0,cp
18/08/2024,0,cp
25/08/2024,0,cp
01/09/2024,689,cp
08/09/2024,5,cp
15/09/2024,0,cp
22/09/2024,0,cp
29/09/2024,0,cp
06/10/2024,0,cp
13/10/2024,0,cp
20/10/2024,0,cp
27/10/2024,0,cp
03/11/2024,0,cp
10/11/2024,333,cp
17/11/2024,0,cp
24/11/2024,0,cp
01/12/2024,0,cp
08/12/2024,0,cp
15/12/2024,0,cp
22/12/2024,0,cp
29/12/2024,0,cp
05/01/2025,0,cp
12/01/2025,0,cp
19/01/2025,42,cp
26/01/2025,0,cp
02/02/2025,0,cp
09/02/2025,370,cp
16/02/2025,0,cp
23/02/2025,5,cp
02/03/2025,3,cp
09/03/2025,0,cp
16/03/2025,2,cp
23/03/2025,30,cp
30/03/2025,31,cp
06/04/2025,1,cp
13/04/2025,0,cp
20/04/2025,0,cp
27/04/2025,0,cp
04/05/2025,34,cp
11/05/2025,0,cp
18/05/2025,0,cp
25/05/2025,0,cp
01/06/2025,0,cp
08/06/2025,2,cp
15/06/2025,0,cp
22/06/2025,0,cp
29/06/2025,0,cp
06/07/2025,0,cp
13/07/2025,0,cp
20/07/2025,0,cp
27/07/2025,0,cp
03/08/2025,0,cp
10/08/2025,40,cp
17/08/2025,0,cp
24/08/2025,0,cp
31/08/2025,0,cp
07/09/2025,0,cp
14/09/2025,0,cp
