"DateTime","Additions","Deletions"
"2024-09-01",243,-51
"2024-09-08",416,-94
"2024-09-15",0,0
"2024-09-22",0,0
"2024-09-29",0,0
"2024-10-06",0,0
"2024-10-13",0,0
"2024-10-20",0,0
"2024-10-27",0,0
"2024-11-03",0,0
"2024-11-10",0,0
"2024-11-17",0,0
"2024-11-24",0,0
"2024-12-01",0,0
"2024-12-08",9,-3
"2024-12-15",0,0
"2024-12-22",0,0
"2024-12-29",0,0
"2025-01-05",0,0
"2025-01-12",0,0
"2025-01-19",0,0
"2025-01-26",0,0
"2025-02-02",0,0
"2025-02-09",0,0
"2025-02-16",0,0
"2025-02-23",0,0
"2025-03-02",0,0
"2025-03-09",0,0
"2025-03-16",0,0
"2025-03-23",56,-54
"2025-03-30",0,0
