"repository","last_modified_date","no_of_commits"
"Projects Compilation Summary","2025-03-20",11
"Career Portfolio","2025-03-20",63
"Unpacking Series_Experimental Discovery","2025-03-20",9
"Symposiums_Trainings","2025-03-05",23
"Course_Completion","2025-03-05",34
"Unpacking Series_PBM Tools and Resources","2025-02-28",2
"Awards_Recognitions","2025-02-20",17
"Unpacking Series_Vision","2025-02-09",2
"Unpacking Series_Compensation","2025-02-07",2
"Unpacking Series_Contribution Motivated","2025-02-07",2
"Unpacking Series_Discovering Your Gifts","2025-02-07",2
"Unpacking Series_Lessons from the Olympics","2025-02-06",4
"Unpacking Series_Performance Feedback","2025-02-06",2
"La Liberacion","2025-01-30",8
"Certification_Badges","2025-01-25",29
"Data Science Projects","2025-01-24",2
"Xoss Strava_Graphical Analysis","2025-01-19",4
"Data_Science Xoss_Strava","2025-01-19",3
"Xoss Strava_Tabular Inventory","2025-01-16",5
"Xoss Strava_Home","2025-01-16",3
"Relive_Tabular Inventory","2025-01-10",13
"Cycling_Journey The_Gallery","2025-01-10",35
"Relive_Graphical Analysis","2025-01-05",3
"Data_Science_Relive","2025-01-05",3
"Relive_Home","2025-01-05",3
"Cycling_Journey Bicycle_Overhaul","2025-01-04",5
"Cycling_Journey","2025-01-04",54
"Galaxy_Watch4 Tabular_Inventory","2025-01-04",11
"GalaxyWatch4_Home","2025-01-04",6
"Combike_Tabular Inventory","2025-01-04",20
"Combike_Home","2025-01-04",7
"Cycling Journey Quotes","2025-01-02",2
"MBTI Personality","2024-12-14",11
"DISC Profiling","2024-12-14",18
"Cycling Journey Clubs","2024-12-12",10
"Cycling Journey Cycling History","2024-11-16",2
"Cycling Journey What Is My Objective","2024-11-16",3
"Cycling Journey Who Am I","2024-11-16",3
"Combike_Graphical Analysis","2024-11-16",51
"Galaxy Watch 4_Graphical Analysis","2024-11-16",4
"Data_Science_GW4","2024-10-27",2
"Data_Science_Combike","2024-10-27",2
"Cycling_Journey Rider_Roles","2024-08-29",4
"Cycling_Journey Cycling_Events","2024-08-10",3
"Cycling_Journey Glossary_of_Terms","2024-07-31",9
"Cycling_Journey Bicycle_Brands","2024-07-31",3
"Cycling_Journey Bicycle_Parts","2024-07-31",10
"Cycling_Journey Bicycle_Types","2024-07-31",7
"Clos-Eat","2024-06-13",6
"The Strength In Our Scars","2024-06-13",3
